status_id,text,favorite_count,retweet_count,place_name,country_code
1071073844511813641,"RT @Azure: Explore 3 #analytics use cases with #Azure Databricks—a churn analysis model, a recommendations engine, and an intrusion detecti…",0,8,NA,NA
1071073762026684416,"RT @CNBC: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",0,9,NA,NA
1071073706443763714,RT @linuxjournal: Reinventing Software Development and Availability with Open Source: an Interview with One of Azure's Lead Architects http…,0,1,NA,NA
1071073584293003264,Why am I thinking about this more than ever today? I just want to go back to bed for the day.,0,0,NA,NA
1071073558611267585,RT @Azure: Explore this sample application to learn how to autoscale a #Kubernetes application with AKS virtual nodes. https://t.co/HFXne0u…,0,31,NA,NA
1071073500398567424,"RT @OphirGottlieb: $MSFT Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says https://t.co/wfAIrM68Ok",0,1,NA,NA
1071073431028948992,It’s National Hand Washing Awareness Week! Try Refresh™ Azure FOAM for a pleasant hand wash that leaves skin clean and smooth https://t.co/owCcjU8DpO https://t.co/F1sEmKcxpz,0,0,NA,NA
1071073281204088836,"$MSFT Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says https://t.co/wfAIrM68Ok",3,1,NA,NA
1071073281124507651,Part 2 of the @MobilizeNet blog series on moving a #VB6 app to @Docker #container and @Azure https://t.co/fQBZnTgQb0 by @MobilizeNet #desktop #webapp #Azure,0,0,NA,NA
1071073143484284931,"RT @Azure: Explore 3 #analytics use cases with #Azure Databricks—a churn analysis model, a recommendations engine, and an intrusion detecti…",0,8,NA,NA
1071073058709008384,RT @SQLServer: You pay less with Azure. Why run Windows Server and SQL Server anywhere else? Learn more: https://t.co/KonGoUmSml https://t.…,0,2,NA,NA
1071073010713591808,Want to catch up on #PragmaticWorks latest offerings. Check out the blog now https://t.co/zv9TODnoiM #PowerBI #Azure #PowerApps #DAX https://t.co/zGHY2DDhbx,0,0,NA,NA
